transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
USR-001,2024-03-01T09:00:00Z,BUY,BTC,0.5,62000.00,0.0005,Monthly DCA
USR-002,2024-03-01T11:30:00Z,BUY,ETH,2.0,3400.00,0.002,
USR-003,2024-03-02T08:15:00Z,SELL,BTC,0.1,63200.00,0.0001,Partial exit
USR-004,2024-03-02T14:45:00Z,TRANSFER_OUT,ETH,1.0,,0.001,Sent to hardware wallet
USR-005,2024-03-03T10:00:00Z,BUY,bitcoin,0.25,61800.00,0.00025,Note: BTC referred to as bitcoin
USR-006,2024-03-03T16:20:00Z,BUY,USDT,500.00,1.00,0.5,Stablecoin purchase
USR-007,2024-03-04T09:05:00Z,SELL,ETH,0.5,3450.00,0.0005,
USR-008,2024-03-04T12:00:00Z,BUY,SOL,10.0,140.00,0.01,
USR-009,2024-03-05T08:30:00Z,TRANSFER_OUT,BTC,0.05,,0.0001,Sent to cold storage
USR-010,2024-03-05T15:00:00Z,BUY,ETH,1.5,3500.00,0.0015,
USR-011,2024-03-06T10:15:00Z,SELL,SOL,5.0,145.00,0.005,
USR-012,2024-03-06T13:30:00Z,BUY,BTC,0.3,62500.00,0.0003,
USR-013,2024-03-07T09:45:00Z,BUY,MATIC,200.0,0.95,0.2,
USR-014,2024-03-07T14:00:00Z,SELL,USDT,200.00,1.00,0.2,
USR-015,2024-03-08T11:00:00Z,BUY,ETH,0.8,3480.00,0.0008,
USR-001,2024-03-01T09:00:00Z,BUY,BTC,0.5,62000.00,0.0005,Monthly DCA
USR-016,2024-03-08T16:45:00Z,TRANSFER_OUT,SOL,3.0,,0.003,
USR-017,2024-03-09T10:30:00Z,BUY,BTC,0.2,61500.00,0.0002,
USR-018,2024-03-09T,SELL,ETH,0.3,3510.00,0.0003,Malformed timestamp
USR-019,2024-03-10T08:00:00Z,BUY,BTC,-0.1,62000.00,0.0001,Negative quantity - data error
USR-020,2024-03-10T13:00:00Z,SELL,BTC,0.15,63000.00,0.00015,
USR-021,2024-03-11T09:00:00Z,BUY,ETH,1.0,3520.00,0.001,
USR-022,2024-03-11T15:20:00Z,BUY,LINK,50.0,18.00,0.05,
USR-023,2024-03-12T10:00:00Z,SELL,MATIC,100.0,0.97,0.1,
USR-024,2024-03-12T,,BTC,0.4,62800.00,0.0004,Missing timestamp entirely
USR-025,2024-03-13T09:15:00Z,BUY,BTC,0.35,62200.00,0.00035,
